,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Not started","Education,Out of school youth","Education,Out of school youth,female","Education,Out of school youth,male","Education,Post baccalaureate","Education,Postsecondary","Education,Preschool","Education,Special education"
492,125.807,7.4492899999999995,24/01/2018,"Wed - Jan 24, 2018",20:10:00,THEFT,Magugpo Poblacion,Tagum City,Salisi (Park),urban,2.43,398,306,356,816,11,0,119,76,43,7,89,0,0
493,125.772,6.91701,27/01/2018,"Sat - Jan 27, 2018",2:10:00,Drug Related Incident (RA 9165),San Remigio,Samal City,Not Indicated,rural,6.25,119,128,461,593,15,0,81,50,30,2,25,0,0
494,125.802,7.429069999999999,27/01/2018,"Sat - Jan 27, 2018",3:00:00,ROBBERY,Visayan Village,Tagum City,Akyat Bahay,urban,31.0,"5,069","3,894","4,531","10,384",137,0,1510,971,545,89,1134,2,4
495,125.803,7.44985,27/01/2018,"Sat - Jan 27, 2018",16:30:00,MURDER,Magugpo Poblacion,Tagum City,Shooting,urban,2.43,398,306,356,816,11,0,119,76,43,7,89,0,0
496,125.81700000000001,7.45748,28/01/2018,"Sun - Jan 28, 2018",2:30:00,ROBBERY,Magugpo North,Tagum City,Breaking and Entering,urban,7.19,"1,175",903,"1,051","2,408",32,0,350,225,126,21,263,1,1
497,125.78,7.46099,28/01/2018,"Sun - Jan 28, 2018",15:55:00,Drug Related Incident (RA 9165),Mankilam,Tagum City,Not Indicated,urban,29.97,"4,901","3,765","4,381","10,040",133,0,1460,939,527,86,1096,2,4
498,125.772,7.444260000000001,28/01/2018,"Sun - Jan 28, 2018",18:00:00,ROBBERY,San Miguel (Camp 4),Tagum City,Destroying Window,urban,13.32,"2,178","1,674","1,947","4,462",59,0,649,417,234,38,487,1,2
499,125.823,7.43348,28/01/2018,"Sun - Jan 28, 2018",19:30:00,PHYSICAL INJURIES,Apokon,Tagum City,Stabbing/Hacking,urban,22.88,3741,2874,"3,345","7,664",101,0,1114,717,403,66,837,2,3
500,125.803,7.45905,29/01/2018,"Mon - Jan 29, 2018",3:30:00,THEFT,Magugpo West,Tagum City,Pick-Pocketing,urban,10.74,"1,757","1,350","1,570","3,598",48,0,523,337,189,31,393,1,1
501,125.80799999999999,7.43135,29/01/2018,"Mon - Jan 29, 2018",2:30:00,THEFT,Visayan Village,Tagum City,Salisi (Akyat Bahay),urban,31.0,"5,069","3,894","4,531","10,384",137,0,1510,971,545,89,1134,2,4
502,125.801,7.38179,29/01/2018,"Mon - Jan 29, 2018",5:00:00,ROBBERY,Madaum,Tagum City,Destroying Window,urban,8.25,1349,1036,"1,206","2,763",37,0,402,258,145,24,302,1,1
503,125.81200000000001,7.4492,27/01/2018,"Sat - Jan 27, 2018",18:00:00,THEFT,Magugpo East,Tagum City,Shoplifting,urban,11.1,"1,815","1,394","1,622","3,718",49,0,541,348,195,32,406,1,1
504,125.819,7.45184,28/01/2018,"Sun - Jan 28, 2018",5:00:00,ROBBERY,Magugpo East,Tagum City,Breaking and Entering,urban,11.1,"1,815","1,394","1,622","3,718",49,0,541,348,195,32,406,1,1
505,125.79799999999999,7.46035,29/01/2018,"Mon - Jan 29, 2018",5:00:00,ROBBERY,Magugpo West,Tagum City,Destroying Window,urban,10.74,"1,757","1,350","1,570","3,598",48,0,523,337,189,31,393,1,1
506,125.8,7.4238,29/01/2018,"Mon - Jan 29, 2018",5:00:00,ROBBERY,Visayan Village,Tagum City,Breaking and Entering,urban,31.0,"5,069","3,894","4,531","10,384",137,0,1510,971,545,89,1134,2,4
507,125.79899999999999,7.42718,30/01/2018,"Tue - Jan 30, 2018",1:45:00,PHYSICAL INJURIES,Visayan Village,Tagum City,Hitting With Hard Object,urban,31.0,"5,069","3,894","4,531","10,384",137,0,1510,971,545,89,1134,2,4
508,125.792,7.45835,30/01/2018,"Tue - Jan 30, 2018",19:30:00,PHYSICAL INJURIES,Mankilam,Tagum City,Stabbing/Hacking,urban,29.97,"4,901","3,765","4,381","10,040",133,0,1460,939,527,86,1096,2,4
509,125.71700000000001,7.07879,29/01/2018,"Mon - Jan 29, 2018",1:00:00,RAPE (Art. 266-A RC & R.A.8353),Peñaplata (Pob.),Samal City,"Force, Threat and Intimidation",urban,17.42,333,356,"1,284",1654,43,0,226,141,84,5,70,0,1
510,125.779,7.45644,31/01/2018,"Wed - Jan 31, 2018",13:45:00,PHYSICAL INJURIES,Mankilam,Tagum City,Stabbing/Hacking,urban,29.97,"4,901","3,765","4,381","10,040",133,0,1460,939,527,86,1096,2,4
