,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Marital Status,Common law/livein","Marital Status,Common law/livein,female","Marital Status,Common law/livein,male","Marital Status,Divorced/Separated","Marital Status,Divorced/Separated,female","Marital Status,Divorced/Separated,male","Marital Status,Married","Marital Status,Married,female","Marital Status,Married,male","Marital Status,Single","Marital Status,Single,female","Marital Status,Single,male","Marital Status,Unknown","Marital Status,Unknown,female","Marital Status,Unknown,male","Marital Status,Widowed","Marital Status,Widowed,female","Marital Status,Widowed,male"
591,125.80799999999999,7.449089999999999,03/03/2018,"Sat - Mar 3, 2018",15:05:00,THEFT,Magugpo Poblacion,Tagum City,Plain Theft,urban,2.43,284,143,142,41,25,16,1052,528,524,"1,129",528,601,0,0,0,114,88,26
592,125.682,7.3000300000000005,03/03/2018,"Sat - Mar 3, 2018",20:15:00,Drug Related Incident (RA 9165),New Pandan (Pob.),Panabo City,Not Indicated,urban,9.03,589,294,296,75,45,30,2243,1124,1120,"2,242","1,020","1,222",1,0,0,225,171,54
593,125.70200000000001,7.301880000000001,04/03/2018,"Sun - Mar 4, 2018",3:00:00,ROBBERY,San Vicente,Panabo City,Destroying Window,urban,19.66,1283,640,644,163,98,65,4885,2446,2438,4882,2220,2662,1,1,0,490,372,118
594,125.801,7.42888,03/03/2018,"Sat - Mar 3, 2018",18:00:00,ROBBERY,Visayan Village,Tagum City,Akyat Bahay,urban,31.0,3622,1819,1803,523,325,199,13392,6720,6672,"14,376","6,721","7,655",2,2,0,"1,457",1121,336
595,125.705,7.32215,04/03/2018,"Sun - Mar 4, 2018",14:00:00,PHYSICAL INJURIES,San Vicente,Panabo City,Hacking,urban,19.66,1283,640,644,163,98,65,4885,2446,2438,4882,2220,2662,1,1,0,490,372,118
596,125.806,7.45858,05/03/2018,"Mon - Mar 5, 2018",18:20:00,THEFT,Magugpo West,Tagum City,Bag Snatching,urban,10.74,1255,630,625,181,113,69,4641,2329,2312,"4,982","2,329","2,653",1,1,0,505,388,117
597,125.806,7.44827,05/03/2018,"Mon - Mar 5, 2018",20:00:00,THEFT,Magugpo Poblacion,Tagum City,Qualified Theft,urban,2.43,284,143,142,41,25,16,1052,528,524,"1,129",528,601,0,0,0,114,88,26
598,125.806,7.44875,06/03/2018,"Tue - Mar 6, 2018",9:40:00,MURDER,Magugpo Poblacion,Tagum City,Shooting,urban,2.43,284,143,142,41,25,16,1052,528,524,"1,129",528,601,0,0,0,114,88,26
599,125.819,7.4335,06/03/2018,"Tue - Mar 6, 2018",16:15:00,PHYSICAL INJURIES,Apokon,Tagum City,Shooting,urban,22.88,2673,1342,1331,386,240,147,9885,4960,4925,"10,611","4,961","5,650",1,1,0,1076,827,248
600,125.685,7.3034,04/03/2018,"Sun - Mar 4, 2018",17:00:00,ROBBERY,Santo Niño (Pob.),Panabo City, in an Uninhabited Place and by a Band,urban,5.89,385,192,193,49,30,19,1464,733,731,"1,464",666,798,0,0,0,147,111,35
601,125.807,7.4489,06/03/2018,"Tue - Mar 6, 2018",16:35:00,THEFT,Magugpo Poblacion,Tagum City,Shoplifting,urban,2.43,284,143,142,41,25,16,1052,528,524,"1,129",528,601,0,0,0,114,88,26
602,125.819,7.43637,01/03/2018,"Thu - Mar 1, 2018",17:20:00,Drug Related Incident (RA 9165),Apokon,Tagum City,Not Indicated,urban,22.88,2673,1342,1331,386,240,147,9885,4960,4925,"10,611","4,961","5,650",1,1,0,1076,827,248
603,125.705,7.076980000000001,07/03/2018,"Wed - Mar 7, 2018",22:30:00,THEFT,Peñaplata (Pob.),Samal City,Pick-Pocketing,urban,17.42,585,293,292,71,38,33,2137,1070,1067,"1,975",845,1129,2,1,0,229,170,60
604,125.749,7.125210000000001,09/03/2018,"Fri - Mar 9, 2018",0:00:00,PHYSICAL INJURIES,San Antonio,Samal City,Stabbing/Hacking,rural,5.99,201,101,100,24,13,11,735,368,367,679,291,389,1,0,0,79,58,21
605,125.749,7.125889999999999,09/03/2018,"Fri - Mar 9, 2018",0:00:00,HOMICIDE,San Antonio,Samal City,Stabbing/Hacking,rural,5.99,201,101,100,24,13,11,735,368,367,679,291,389,1,0,0,79,58,21
606,125.823,7.42105,07/03/2018,"Wed - Mar 7, 2018",17:00:00,RAPE (Art. 266-A RC & R.A.8353),Apokon,Tagum City,"Force, Threat and Intimidation",urban,22.88,2673,1342,1331,386,240,147,9885,4960,4925,"10,611","4,961","5,650",1,1,0,1076,827,248
607,125.73700000000001,7.0418199999999995,09/03/2018,"Fri - Mar 9, 2018",18:00:00,RAPE (Art. 266-A RC & R.A.8353),Del Monte,Samal City,"Force, Threat and Intimidation",rural,5.47,184,92,92,22,12,10,671,336,335,620,265,355,0,0,0,72,53,19
608,125.804,7.461119999999999,09/03/2018,"Fri - Mar 9, 2018",20:30:00,Drug Related Incident (RA 9165),Apokon,Tagum City,Not Indicated,urban,22.88,2673,1342,1331,386,240,147,9885,4960,4925,"10,611","4,961","5,650",1,1,0,1076,827,248
