,lng,lat,date,customdate,time,crime,barangay,city,modus,weathertime,time_bin,day,Region_x,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb),Sunrise,Sunset,day or night
633,125.648,7.29025,19/03/2018,"Mon - Mar 19, 2018",23:00:00,RAPE (Art. 266-A RC & R.A.8353),Maduao,Panabo City,Gang/Party,21:00,23:00 - 23:59,Monday,Panabo City,19/03/2018,21:00,Partly cloudy,27,27,6,NNW,47%,82%,0.0,"1,011",5:42 AM,5:48 PM,night
634,125.773,7.46782,20/03/2018,"Tue - Mar 20, 2018",22:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Mankilam,Tagum City,Swpu (Stolen While Parked),21:00,22:00 - 22:59,Tuesday,Tagum City,20/03/2018,21:00,Patchy rain possible,28,28,5,SE,73%,84%,1.8,"1,010",5:42 AM,5:48 PM,night
635,125.59,7.305619999999999,22/03/2018,"Thu - Mar 22, 2018",8:15:00,Drug Related Incident (RA 9165),Kauswagan,Panabo City,Not Indicated,6:00,08:00 - 08:59,Thursday,Panabo City,22/03/2018,6:00,Partly cloudy,29,27,11,N,19%,83%,0.0,"1,008",5:41 AM,5:48 PM,day
636,125.80799999999999,7.45863,23/03/2018,"Fri - Mar 23, 2018",20:30:00,ROBBERY,Magugpo West,Tagum City,With Violence Against or Intimidation of Persons,18:00,20:00 - 20:59,Friday,Tagum City,23/03/2018,18:00,Patchy rain possible,29,30,9,ESE,79%,76%,1.5,"1,010",5:40 AM,5:48 PM,night
637,125.78,7.392010000000001,23/03/2018,"Fri - Mar 23, 2018",23:00:00,Drug Related Incident (RA 9165),San Isidro,Tagum City,Not Indicated,21:00,23:00 - 23:59,Friday,Tagum City,23/03/2018,21:00,Partly cloudy,28,27,7,N,62%,87%,1.3,"1,011",5:40 AM,5:48 PM,night
638,125.77799999999999,7.44469,24/03/2018,"Sat - Mar 24, 2018",12:00:00,Drug Related Incident (RA 9165),San Miguel (Camp 4),Tagum City,Not Indicated,12:00,12:00 - 12:59,Saturday,Tagum City,24/03/2018,12:00,Patchy rain possible,33,35,14,NNE,42%,55%,0.1,"1,010",5:40 AM,5:48 PM,day
639,125.67299999999999,7.2854600000000005,25/03/2018,"Sun - Mar 25, 2018",21:30:00,THEFT,J.P. Laurel,Panabo City,Pick-Pocketing,21:00,21:00 - 21:59,Sunday,Panabo City,25/03/2018,21:00,Partly cloudy,28,32,13,ESE,2%,76%,0.0,"1,011",5:39 AM,5:48 PM,night
640,125.796,7.49867,25/03/2018,"Sun - Mar 25, 2018",22:00:00,Vehicular Traffic Accident,Cuambogan,Tagum City,Not Indicated,21:00,22:00 - 22:59,Sunday,Tagum City,25/03/2018,21:00,Partly cloudy,28,28,9,NNE,4%,80%,0.0,"1,011",5:39 AM,5:48 PM,night
641,125.775,7.44367,25/03/2018,"Sun - Mar 25, 2018",18:04:00,MURDER,San Miguel (Camp 4),Tagum City,Shooting,18:00,18:00 - 18:59,Sunday,Tagum City,25/03/2018,18:00,Clear,30,33,10,NNE,49%,64%,0.1,"1,010",5:39 AM,5:48 PM,night
642,125.804,7.44683,26/03/2018,"Mon - Mar 26, 2018",2:30:00,THEFT,Magugpo Poblacion,Tagum City,Snatching,0:00,02:00 - 02:59,Monday,Tagum City,26/03/2018,0:00,Partly cloudy,26,27,9,N,24%,86%,0.0,"1,011",5:39 AM,5:48 PM,night
