,lng,lat,date,customdate,time,crime,barangay,city,modus,weathertime,time_bin,day,Region_x,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb),Sunrise,Sunset,day or night
577,125.77,7.0033199999999995,22/02/2018,"Thu - Feb 22, 2018",10:37:00,Drug Related Incident (RA 9165),Tagbaobo,Samal City,Not Indicated,9:00,10:00 - 10:59,Thursday,Samal City,22/02/2018,9:00,Partly cloudy,30,30,12,N,3%,68%,0.0,"1,011",5:53 AM,5:49 PM,day
578,125.73700000000001,7.041060000000001,23/02/2018,"Fri - Feb 23, 2018",17:30:00,Vehicular Traffic Accident,Del Monte,Samal City,Not Indicated,15:00,17:00 - 17:59,Friday,Samal City,23/02/2018,15:00,Patchy rain possible,30,35,15,ESE,43%,63%,0.0,"1,009",5:53 AM,5:49 PM,day
579,125.78,7.45305,23/02/2018,"Fri - Feb 23, 2018",23:30:00,Vehicular Traffic Accident,Magdum,Tagum City,Not Indicated,21:00,23:00 - 23:59,Friday,Tagum City,23/02/2018,21:00,Partly cloudy,26,27,10,N,55%,87%,0.7,"1,011",5:53 AM,5:49 PM,night
580,125.684,7.123589999999999,25/02/2018,"Sun - Feb 25, 2018",0:00:00,PHYSICAL INJURIES,Kinawitnon,Samal City,Stabbing/Hacking,0:00,00:00 - 00:59,Sunday,Samal City,25/02/2018,0:00,Partly cloudy,26,27,16,NNW,39%,87%,0.0,"1,011",5:52 AM,5:49 PM,night
581,125.804,7.43392,25/02/2018,"Sun - Feb 25, 2018",16:55:00,Drug Related Incident (RA 9165),Visayan Village,Tagum City,Not Indicated,15:00,16:00 - 16:59,Sunday,Tagum City,25/02/2018,15:00,Light rain shower,30,35,6,NNW,80%,69%,0.8,"1,009",5:52 AM,5:49 PM,day
582,125.77600000000001,7.4626,26/02/2018,"Mon - Feb 26, 2018",8:04:00,MURDER,Mankilam,Tagum City,Shooting,6:00,08:00 - 08:59,Monday,Tagum City,26/02/2018,6:00,Partly cloudy,29,26,5,ESE,24%,89%,0.0,"1,011",5:52 AM,5:49 PM,day
583,125.714,7.14416,26/02/2018,"Mon - Feb 26, 2018",16:00:00,ROBBERY,Cogon,Samal City, in an Uninhabited Place and by a Band,15:00,16:00 - 16:59,Monday,Samal City,26/02/2018,15:00,Partly cloudy,31,36,2,ENE,33%,60%,0.0,"1,009",5:52 AM,5:49 PM,day
584,125.67399999999999,7.1201,14/02/2018,"Wed - Feb 14, 2018",1:30:00,PHYSICAL INJURIES,Kinawitnon,Samal City,Mauling,0:00,01:00 - 01:59,Wednesday,Samal City,14/02/2018,0:00,Partly cloudy,26,30,1,S,57%,85%,0.1,"1,012",5:55 AM,5:48 PM,night
585,125.773,7.4431,28/02/2018,"Wed - Feb 28, 2018",2:15:00,Drug Related Incident (RA 9165),San Miguel (Camp 4),Tagum City,Not Indicated,0:00,02:00 - 02:59,Wednesday,Tagum City,28/02/2018,0:00,Mist,26,26,4,N,66%,94%,0.1,"1,011",5:51 AM,5:49 PM,night
586,125.801,7.477539999999999,28/02/2018,"Wed - Feb 28, 2018",21:00:00,PHYSICAL INJURIES,La Filipina,Tagum City,Shooting,21:00,21:00 - 21:59,Wednesday,Tagum City,28/02/2018,21:00,Partly cloudy,27,28,3,NNW,48%,89%,0.0,"1,011",5:51 AM,5:49 PM,night
587,125.73299999999999,7.050510000000001,27/02/2018,"Tue - Feb 27, 2018",21:00:00,RAPE (Art. 266-A RC & R.A.8353),Balet,Samal City,"Force, Threat and Intimidation",21:00,21:00 - 21:59,Tuesday,Samal City,27/02/2018,21:00,Partly cloudy,28,29,9,NNW,26%,80%,0.0,"1,011",5:51 AM,5:49 PM,night
588,125.71,7.0778,08/02/2018,"Thu - Feb 8, 2018",3:00:00,PHYSICAL INJURIES,Peñaplata (Pob.),Samal City,Stabbing/Hacking,3:00,03:00 - 03:59,Thursday,Samal City,08/02/2018,3:00,Partly cloudy,28,28,14,N,24%,79%,0.0,"1,008",5:56 AM,5:47 PM,night
589,125.81700000000001,7.392639999999999,02/03/2018,"Fri - Mar 2, 2018",20:00:00,PHYSICAL INJURIES,Madaum,Tagum City,Shooting,18:00,20:00 - 20:59,Friday,Tagum City,02/03/2018,18:00,Patchy rain possible,29,31,6,N,84%,88%,2.1,"1,010",5:50 AM,5:49 PM,night
590,125.81200000000001,7.448919999999999,02/03/2018,"Fri - Mar 2, 2018",18:15:00,THEFT,Magugpo Poblacion,Tagum City,Plain Theft,18:00,18:00 - 18:59,Friday,Tagum City,02/03/2018,18:00,Patchy rain possible,29,31,6,N,84%,88%,2.1,"1,010",5:50 AM,5:49 PM,night
591,125.80799999999999,7.449089999999999,03/03/2018,"Sat - Mar 3, 2018",15:05:00,THEFT,Magugpo Poblacion,Tagum City,Plain Theft,15:00,15:00 - 15:59,Saturday,Tagum City,03/03/2018,15:00,Partly cloudy,32,36,5,W,65%,51%,0.1,"1,009",5:50 AM,5:49 PM,day
592,125.682,7.3000300000000005,03/03/2018,"Sat - Mar 3, 2018",20:15:00,Drug Related Incident (RA 9165),New Pandan (Pob.),Panabo City,Not Indicated,18:00,20:00 - 20:59,Saturday,Panabo City,03/03/2018,18:00,Partly cloudy,30,31,8,SSW,13%,64%,0.0,"1,010",5:50 AM,5:49 PM,night
593,125.70200000000001,7.301880000000001,04/03/2018,"Sun - Mar 4, 2018",3:00:00,ROBBERY,San Vicente,Panabo City,Destroying Window,3:00,03:00 - 03:59,Sunday,Panabo City,04/03/2018,3:00,Partly cloudy,27,26,6,NNW,7%,81%,0.0,"1,010",5:49 AM,5:49 PM,night
594,125.801,7.42888,03/03/2018,"Sat - Mar 3, 2018",18:00:00,ROBBERY,Visayan Village,Tagum City,Akyat Bahay,18:00,18:00 - 18:59,Saturday,Tagum City,03/03/2018,18:00,Partly cloudy,30,32,4,SSW,15%,65%,0.0,"1,010",5:50 AM,5:49 PM,night
595,125.705,7.32215,04/03/2018,"Sun - Mar 4, 2018",14:00:00,PHYSICAL INJURIES,San Vicente,Panabo City,Hacking,12:00,14:00 - 14:59,Sunday,Panabo City,04/03/2018,12:00,Partly cloudy,33,36,8,SW,18%,54%,0.0,"1,010",5:49 AM,5:49 PM,day
596,125.806,7.45858,05/03/2018,"Mon - Mar 5, 2018",18:20:00,THEFT,Magugpo West,Tagum City,Bag Snatching,18:00,18:00 - 18:59,Monday,Tagum City,05/03/2018,18:00,Partly cloudy,30,33,5,WSW,24%,65%,0.0,"1,010",5:49 AM,5:49 PM,night
597,125.806,7.44827,05/03/2018,"Mon - Mar 5, 2018",20:00:00,THEFT,Magugpo Poblacion,Tagum City,Qualified Theft,18:00,20:00 - 20:59,Monday,Tagum City,05/03/2018,18:00,Partly cloudy,30,33,5,WSW,24%,65%,0.0,"1,010",5:49 AM,5:49 PM,night
598,125.806,7.44875,06/03/2018,"Tue - Mar 6, 2018",9:40:00,MURDER,Magugpo Poblacion,Tagum City,Shooting,9:00,09:00 - 09:59,Tuesday,Tagum City,06/03/2018,9:00,Patchy rain possible,32,32,11,WSW,54%,71%,0.1,"1,011",5:49 AM,5:49 PM,day
599,125.819,7.4335,06/03/2018,"Tue - Mar 6, 2018",16:15:00,PHYSICAL INJURIES,Apokon,Tagum City,Shooting,15:00,16:00 - 16:59,Tuesday,Tagum City,06/03/2018,15:00,Patchy rain possible,32,36,11,N,76%,56%,0.3,"1,009",5:49 AM,5:49 PM,day
600,125.685,7.3034,04/03/2018,"Sun - Mar 4, 2018",17:00:00,ROBBERY,Santo Niño (Pob.),Panabo City, in an Uninhabited Place and by a Band,15:00,17:00 - 17:59,Sunday,Panabo City,04/03/2018,15:00,Patchy rain possible,32,36,7,ESE,44%,61%,0.2,"1,010",5:49 AM,5:49 PM,day
601,125.807,7.4489,06/03/2018,"Tue - Mar 6, 2018",16:35:00,THEFT,Magugpo Poblacion,Tagum City,Shoplifting,15:00,16:00 - 16:59,Tuesday,Tagum City,06/03/2018,15:00,Patchy rain possible,32,36,11,N,76%,56%,0.3,"1,009",5:49 AM,5:49 PM,day
