Region,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb)
Panabo City,01/08/2017,0:00,Partly cloudy,29,29,1,SSE,41%,79%,0.3000,"1,011"
Panabo City,01/08/2017,3:00,Partly cloudy,30,27,2,NNW,48%,80%,0.0000,"1,011"
Panabo City,01/08/2017,6:00,Partly cloudy,32,29,1,W,42%,77%,0.0000,"1,011"
Panabo City,01/08/2017,9:00,Partly cloudy,34,37,4,E,49%,68%,0.0000,"1,011"
Panabo City,01/08/2017,12:00,Light rain shower,35,44,10,SSE,62%,58%,0.1000,"1,010"
Panabo City,01/08/2017,15:00,Light rain shower,35,41,11,S,70%,66%,1.0000,"1,010"
Panabo City,01/08/2017,18:00,Patchy light rain,33,32,6,SE,54%,84%,1.9000,"1,010"
Panabo City,01/08/2017,21:00,Patchy light drizzle,31,27,1,ENE,63%,89%,0.9000,"1,011"
Panabo City,02/08/2017,0:00,Partly cloudy,30,26,2,NE,52%,88%,0.1000,"1,011"
Panabo City,02/08/2017,3:00,Partly cloudy,31,26,1,NE,43%,86%,0.0000,"1,010"
Panabo City,02/08/2017,6:00,Partly cloudy,33,29,1,ESE,31%,79%,0.0000,"1,010"
Panabo City,02/08/2017,9:00,Partly cloudy,35,38,4,SSE,28%,63%,0.0000,"1,010"
Panabo City,02/08/2017,12:00,Light rain shower,37,45,8,S,36%,55%,0.1000,"1,009"
Panabo City,02/08/2017,15:00,Light rain shower,36,47,7,S,54%,58%,0.3000,"1,008"
Panabo City,02/08/2017,18:00,Partly cloudy,35,41,4,SSW,55%,69%,0.4000,"1,008"
Panabo City,02/08/2017,21:00,Partly cloudy,33,32,2,SSW,45%,76%,0.1000,"1,009"
Panabo City,03/08/2017,0:00,Partly cloudy,32,28,1,SSW,35%,78%,0.0000,"1,009"
Panabo City,03/08/2017,3:00,Clear,33,27,1,S,20%,79%,0.0000,"1,008"
Panabo City,03/08/2017,6:00,Sunny,35,31,2,SSE,0%,74%,0.0000,"1,009"
Panabo City,03/08/2017,9:00,Patchy rain possible,37,41,5,S,10%,59%,0.0000,"1,009"
Panabo City,03/08/2017,12:00,Patchy rain possible,39,49,7,SSW,33%,51%,0.2000,"1,008"
Panabo City,03/08/2017,15:00,Patchy rain possible,37,49,7,SSW,37%,54%,0.4000,"1,007"
Panabo City,03/08/2017,18:00,Patchy rain possible,34,43,5,SW,33%,65%,0.5000,"1,008"
Panabo City,03/08/2017,21:00,Clear,32,35,1,SSE,18%,75%,0.5000,"1,009"
Panabo City,04/08/2017,0:00,Clear,30,32,1,ESE,0%,77%,0.0000,"1,009"
Panabo City,04/08/2017,3:00,Clear,31,28,1,WSW,0%,77%,0.0000,"1,009"
Panabo City,04/08/2017,6:00,Sunny,33,30,1,ENE,0%,74%,0.0000,"1,009"
Panabo City,04/08/2017,9:00,Partly cloudy,35,39,3,SE,9%,63%,0.0000,"1,010"
Panabo City,04/08/2017,12:00,Sunny,37,46,7,SSE,17%,55%,0.0000,"1,009"
Panabo City,04/08/2017,15:00,Sunny,36,47,7,SSE,0%,57%,0.0000,"1,008"
Panabo City,04/08/2017,18:00,Partly cloudy,34,41,6,S,16%,66%,0.0000,"1,009"
Panabo City,04/08/2017,21:00,Cloudy,32,33,4,ESE,55%,76%,0.0000,"1,010"
Panabo City,05/08/2017,0:00,Cloudy,31,30,1,SE,76%,79%,0.0000,"1,011"
Panabo City,05/08/2017,3:00,Partly cloudy,32,27,2,N,64%,81%,0.0000,"1,010"
Panabo City,05/08/2017,6:00,Sunny,34,31,1,WNW,18%,76%,0.0000,"1,011"
Panabo City,05/08/2017,9:00,Sunny,36,41,4,S,0%,60%,0.0000,"1,011"
Panabo City,05/08/2017,12:00,Partly cloudy,38,48,8,SSE,15%,51%,0.0000,"1,010"
Panabo City,05/08/2017,15:00,Light rain shower,37,43,12,S,47%,58%,0.1000,"1,009"
Panabo City,05/08/2017,18:00,Light rain shower,35,35,10,S,56%,71%,0.3000,"1,010"
Panabo City,05/08/2017,21:00,Partly cloudy,32,29,5,SSW,58%,77%,0.1000,"1,011"
Panabo City,06/08/2017,0:00,Clear,31,28,2,SE,32%,78%,0.0000,"1,012"
Panabo City,06/08/2017,3:00,Clear,32,28,5,SE,0%,80%,0.0000,"1,011"
Panabo City,06/08/2017,6:00,Sunny,34,30,5,WSW,0%,76%,0.0000,"1,011"
Panabo City,06/08/2017,9:00,Sunny,36,40,4,ENE,0%,60%,0.0000,"1,011"
Panabo City,06/08/2017,12:00,Partly cloudy,38,48,6,SSE,9%,50%,0.0000,"1,010"
Panabo City,06/08/2017,15:00,Sunny,37,47,9,S,18%,55%,0.0000,"1,009"
Panabo City,06/08/2017,18:00,Patchy rain possible,34,40,10,S,9%,68%,0.1000,"1,010"
Panabo City,06/08/2017,21:00,Patchy rain possible,32,31,8,S,26%,79%,0.4000,"1,011"
Panabo City,07/08/2017,0:00,Partly cloudy,31,28,3,S,28%,83%,0.5000,"1,011"
Panabo City,07/08/2017,3:00,Clear,31,27,1,SSW,23%,86%,0.0000,"1,011"
Panabo City,07/08/2017,6:00,Sunny,33,29,2,WNW,0%,81%,0.0000,"1,011"
Panabo City,07/08/2017,9:00,Sunny,35,39,5,S,0%,63%,0.0000,"1,012"
Panabo City,07/08/2017,12:00,Sunny,37,46,11,S,0%,53%,0.0000,"1,011"
Panabo City,07/08/2017,15:00,Sunny,36,46,13,S,0%,57%,0.0000,"1,009"
Panabo City,07/08/2017,18:00,Clear,34,40,12,S,0%,68%,0.0000,"1,010"
Panabo City,07/08/2017,21:00,Clear,32,34,8,SSW,0%,78%,0.0000,"1,011"
Panabo City,08/08/2017,0:00,Clear,31,30,4,WSW,0%,82%,0.0000,"1,012"
Panabo City,08/08/2017,3:00,Clear,31,26,2,NW,0%,85%,0.0000,"1,011"
Panabo City,08/08/2017,6:00,Sunny,33,29,3,NNW,0%,78%,0.0000,"1,012"
Panabo City,08/08/2017,9:00,Sunny,35,39,4,W,0%,60%,0.0000,"1,012"
Panabo City,08/08/2017,12:00,Sunny,37,45,9,S,0%,52%,0.0000,"1,011"
Panabo City,08/08/2017,15:00,Sunny,36,44,13,S,0%,56%,0.0000,"1,010"
Panabo City,08/08/2017,18:00,Clear,34,38,12,S,0%,69%,0.0000,"1,010"
Panabo City,08/08/2017,21:00,Clear,32,31,7,SSW,0%,80%,0.0000,"1,012"
Panabo City,09/08/2017,0:00,Clear,31,28,3,WSW,0%,84%,0.1000,"1,012"
Panabo City,09/08/2017,3:00,Clear,32,26,2,SW,0%,85%,0.1000,"1,011"
Panabo City,09/08/2017,6:00,Sunny,34,29,3,ESE,0%,79%,0.0000,"1,012"
Panabo City,09/08/2017,9:00,Sunny,36,39,2,WNW,0%,58%,0.0000,"1,012"
Panabo City,09/08/2017,12:00,Sunny,38,46,5,S,0%,46%,0.0000,"1,010"
Panabo City,09/08/2017,15:00,Sunny,37,45,10,S,0%,50%,0.0000,"1,009"
Panabo City,09/08/2017,18:00,Patchy rain possible,35,40,12,S,7%,65%,0.1000,"1,010"
Panabo City,09/08/2017,21:00,Clear,33,34,7,SSW,15%,77%,0.1000,"1,012"
Panabo City,10/08/2017,0:00,Partly cloudy,32,30,3,SSE,10%,79%,0.0000,"1,012"
Panabo City,10/08/2017,3:00,Partly cloudy,32,27,2,SE,32%,81%,0.0000,"1,011"
Panabo City,10/08/2017,6:00,Partly cloudy,34,30,3,SW,39%,77%,0.0000,"1,011"
Panabo City,10/08/2017,9:00,Sunny,36,40,2,ENE,31%,57%,0.0000,"1,012"
Panabo City,10/08/2017,12:00,Partly cloudy,38,45,4,S,10%,45%,0.0000,"1,010"
Panabo City,10/08/2017,15:00,Partly cloudy,37,44,11,SSE,29%,51%,0.0000,"1,009"
Panabo City,10/08/2017,18:00,Patchy rain possible,35,37,10,S,28%,65%,0.1000,"1,010"
Panabo City,10/08/2017,21:00,Clear,33,30,5,SSW,17%,77%,0.2000,"1,012"
Panabo City,11/08/2017,0:00,Clear,32,28,2,SE,0%,80%,0.1000,"1,012"
Panabo City,11/08/2017,3:00,Clear,32,27,3,N,0%,83%,0.0000,"1,011"
Panabo City,11/08/2017,6:00,Sunny,35,30,3,ESE,0%,77%,0.0000,"1,011"
Panabo City,11/08/2017,9:00,Sunny,37,40,3,WNW,0%,57%,0.0000,"1,012"
Panabo City,11/08/2017,12:00,Sunny,38,46,4,SSE,0%,46%,0.0000,"1,010"
Panabo City,11/08/2017,15:00,Sunny,37,46,9,S,0%,51%,0.0000,"1,009"
Panabo City,11/08/2017,18:00,Partly cloudy,35,40,10,S,11%,63%,0.0000,"1,009"
Panabo City,11/08/2017,21:00,Partly cloudy,32,33,6,SSW,35%,75%,0.0000,"1,011"
Panabo City,12/08/2017,0:00,Clear,31,30,1,SSE,28%,80%,0.1000,"1,011"
Panabo City,12/08/2017,3:00,Clear,32,27,1,SE,0%,83%,0.0000,"1,010"
Panabo City,12/08/2017,6:00,Sunny,34,30,2,WNW,0%,77%,0.0000,"1,011"
Panabo City,12/08/2017,9:00,Sunny,36,39,5,S,0%,60%,0.0000,"1,011"
Panabo City,12/08/2017,12:00,Sunny,38,46,10,S,0%,51%,0.0000,"1,010"
Panabo City,12/08/2017,15:00,Sunny,37,47,14,S,0%,56%,0.0000,"1,008"
Panabo City,12/08/2017,18:00,Patchy rain possible,34,40,13,S,8%,70%,0.3000,"1,009"
Panabo City,12/08/2017,21:00,Patchy rain possible,32,32,8,S,21%,81%,0.6000,"1,011"
Panabo City,13/08/2017,0:00,Clear,31,28,3,S,12%,84%,0.4000,"1,011"
Panabo City,13/08/2017,3:00,Clear,32,27,1,ESE,0%,86%,0.1000,"1,010"
Panabo City,13/08/2017,6:00,Sunny,34,30,2,ESE,0%,81%,0.0000,"1,011"
Panabo City,13/08/2017,9:00,Sunny,35,39,6,SSE,0%,61%,0.0000,"1,011"
Panabo City,13/08/2017,12:00,Sunny,37,44,10,S,0%,48%,0.0000,"1,010"
Panabo City,13/08/2017,15:00,Sunny,36,43,12,S,0%,50%,0.0000,"1,009"
Panabo City,13/08/2017,18:00,Clear,34,39,12,S,0%,64%,0.0000,"1,010"
Panabo City,13/08/2017,21:00,Clear,32,34,7,S,0%,78%,0.0000,"1,011"
Panabo City,14/08/2017,0:00,Clear,31,30,2,SE,0%,83%,0.1000,"1,012"
Panabo City,14/08/2017,3:00,Clear,31,26,2,NNE,0%,85%,0.0000,"1,011"
Panabo City,14/08/2017,6:00,Sunny,34,29,2,ENE,0%,78%,0.0000,"1,011"
Panabo City,14/08/2017,9:00,Sunny,35,38,3,S,0%,58%,0.0000,"1,011"
Panabo City,14/08/2017,12:00,Sunny,37,43,9,S,0%,47%,0.0000,"1,010"
Panabo City,14/08/2017,15:00,Sunny,35,43,12,S,0%,50%,0.0000,"1,009"
Panabo City,14/08/2017,18:00,Clear,32,38,10,S,0%,64%,0.0000,"1,009"
Panabo City,14/08/2017,21:00,Clear,28,32,5,SW,0%,77%,0.1000,"1,011"
Panabo City,15/08/2017,0:00,Clear,26,30,2,SSW,0%,80%,0.0000,"1,011"
Panabo City,15/08/2017,3:00,Clear,27,27,4,NNE,0%,82%,0.0000,"1,010"
Panabo City,15/08/2017,6:00,Sunny,30,30,4,N,0%,75%,0.0000,"1,011"
Panabo City,15/08/2017,9:00,Patchy light rain,33,34,5,NNE,16%,69%,0.6000,"1,011"
Panabo City,15/08/2017,12:00,Patchy rain possible,35,34,6,ESE,42%,77%,1.3000,"1,010"
Panabo City,15/08/2017,15:00,Partly cloudy,34,43,7,NNW,34%,61%,0.1000,"1,009"
Panabo City,15/08/2017,18:00,Partly cloudy,33,41,3,NW,35%,64%,0.0000,"1,009"
Panabo City,15/08/2017,21:00,Partly cloudy,32,33,1,WNW,38%,72%,0.0000,"1,010"
Panabo City,16/08/2017,0:00,Partly cloudy,32,29,2,NNW,51%,76%,0.0000,"1,010"
Panabo City,16/08/2017,3:00,Partly cloudy,32,26,3,NNW,56%,79%,0.0000,"1,009"
Panabo City,16/08/2017,6:00,Sunny,35,30,3,NNW,41%,75%,0.0000,"1,009"
Panabo City,16/08/2017,9:00,Sunny,36,39,4,WNW,0%,58%,0.0000,"1,010"
Panabo City,16/08/2017,12:00,Partly cloudy,38,44,6,S,11%,46%,0.0000,"1,008"
Panabo City,16/08/2017,15:00,Sunny,37,46,9,S,22%,50%,0.0000,"1,007"
Panabo City,16/08/2017,18:00,Clear,35,41,9,S,0%,62%,0.0000,"1,008"
Panabo City,16/08/2017,21:00,Clear,33,35,5,S,0%,74%,0.0000,"1,009"
Panabo City,17/08/2017,0:00,Clear,32,31,2,ESE,0%,80%,0.0000,"1,010"
Panabo City,17/08/2017,3:00,Clear,33,27,3,N,0%,84%,0.0000,"1,009"
Panabo City,17/08/2017,6:00,Sunny,35,30,2,NE,0%,77%,0.0000,"1,010"
Panabo City,17/08/2017,9:00,Sunny,37,40,2,S,0%,55%,0.0000,"1,010"
Panabo City,17/08/2017,12:00,Sunny,38,45,5,S,0%,43%,0.0000,"1,008"
Panabo City,17/08/2017,15:00,Sunny,37,45,9,S,0%,48%,0.0000,"1,007"
Panabo City,17/08/2017,18:00,Partly cloudy,35,39,10,S,11%,61%,0.0000,"1,008"
Panabo City,17/08/2017,21:00,Clear,33,33,5,SE,21%,76%,0.1000,"1,010"
Panabo City,18/08/2017,0:00,Clear,32,31,2,NE,0%,81%,0.0000,"1,010"
Panabo City,18/08/2017,3:00,Clear,33,27,4,SE,0%,83%,0.0000,"1,009"
Panabo City,18/08/2017,6:00,Sunny,35,31,3,N,0%,76%,0.0000,"1,010"
Panabo City,18/08/2017,9:00,Sunny,38,41,2,WNW,0%,56%,0.0000,"1,010"
Panabo City,18/08/2017,12:00,Sunny,39,48,4,SSW,0%,45%,0.0000,"1,008"
Panabo City,18/08/2017,15:00,Partly cloudy,38,46,10,S,9%,47%,0.0000,"1,008"
Panabo City,18/08/2017,18:00,Patchy rain possible,36,39,9,S,30%,62%,0.2000,"1,009"
Panabo City,18/08/2017,21:00,Clear,34,34,3,ESE,24%,74%,0.2000,"1,010"
Panabo City,19/08/2017,0:00,Clear,32,30,3,NNE,0%,77%,0.0000,"1,011"
Panabo City,19/08/2017,3:00,Clear,33,28,3,SE,0%,78%,0.0000,"1,010"
Panabo City,19/08/2017,6:00,Sunny,34,31,2,W,0%,72%,0.0000,"1,010"
Panabo City,19/08/2017,9:00,Sunny,36,40,2,SE,0%,56%,0.0000,"1,011"
Panabo City,19/08/2017,12:00,Patchy rain possible,37,46,5,S,11%,47%,0.1000,"1,009"
Panabo City,19/08/2017,15:00,Patchy rain possible,36,45,8,S,33%,52%,0.3000,"1,008"
Panabo City,19/08/2017,18:00,Clear,35,40,5,S,20%,62%,0.3000,"1,009"
Panabo City,19/08/2017,21:00,Clear,33,33,2,SW,0%,71%,0.1000,"1,010"
Panabo City,20/08/2017,0:00,Partly cloudy,32,28,1,SSW,9%,74%,0.0000,"1,010"
Panabo City,20/08/2017,3:00,Clear,33,27,1,N,17%,75%,0.0000,"1,009"
Panabo City,20/08/2017,6:00,Sunny,34,30,2,NE,0%,70%,0.0000,"1,009"
Panabo City,20/08/2017,9:00,Sunny,36,39,3,SSE,0%,56%,0.0000,"1,010"
Panabo City,20/08/2017,12:00,Sunny,38,45,9,S,0%,48%,0.0000,"1,008"
Panabo City,20/08/2017,15:00,Sunny,37,45,11,S,0%,51%,0.0000,"1,007"
Panabo City,20/08/2017,18:00,Clear,35,40,8,SSE,0%,63%,0.0000,"1,007"
Panabo City,20/08/2017,21:00,Clear,33,32,4,S,0%,71%,0.0000,"1,008"
Panabo City,21/08/2017,0:00,Clear,32,30,1,SW,0%,75%,0.0000,"1,009"
Panabo City,21/08/2017,3:00,Clear,32,28,1,W,0%,77%,0.0000,"1,008"
Panabo City,21/08/2017,6:00,Sunny,34,30,2,SW,0%,71%,0.0000,"1,008"
Panabo City,21/08/2017,9:00,Sunny,35,40,7,S,0%,58%,0.0000,"1,009"
Panabo City,21/08/2017,12:00,Sunny,36,45,12,S,0%,51%,0.0000,"1,007"
Panabo City,21/08/2017,15:00,Sunny,35,44,13,SSE,0%,52%,0.0000,"1,006"
Panabo City,21/08/2017,18:00,Clear,33,41,10,SSE,0%,64%,0.0000,"1,007"
Panabo City,21/08/2017,21:00,Clear,32,35,7,SSE,0%,76%,0.0000,"1,008"
Panabo City,22/08/2017,0:00,Partly cloudy,31,32,4,S,10%,79%,0.0000,"1,009"
Panabo City,22/08/2017,3:00,Clear,31,29,4,S,20%,79%,0.0000,"1,008"
Panabo City,22/08/2017,6:00,Partly cloudy,33,32,6,S,9%,76%,0.0000,"1,009"
Panabo City,22/08/2017,9:00,Sunny,34,41,10,SSE,18%,65%,0.0000,"1,009"
Panabo City,22/08/2017,12:00,Sunny,36,44,13,SSE,0%,56%,0.0000,"1,008"
Panabo City,22/08/2017,15:00,Sunny,35,42,14,SSE,0%,61%,0.0000,"1,007"
Panabo City,22/08/2017,18:00,Patchy rain possible,33,34,12,SSE,11%,73%,0.4000,"1,009"
Panabo City,22/08/2017,21:00,Patchy rain possible,32,30,9,SSE,33%,80%,1.0000,"1,010"
Panabo City,23/08/2017,0:00,Light rain shower,31,28,8,S,38%,81%,0.8000,"1,011"
Panabo City,23/08/2017,3:00,Patchy rain possible,32,28,5,S,46%,84%,0.7000,"1,011"
Panabo City,23/08/2017,6:00,Partly cloudy,34,30,3,SSE,44%,80%,0.1000,"1,011"
Panabo City,23/08/2017,9:00,Partly cloudy,35,39,6,SSE,42%,65%,0.0000,"1,012"
Panabo City,23/08/2017,12:00,Partly cloudy,37,43,10,SSE,45%,54%,0.0000,"1,011"
Panabo City,23/08/2017,15:00,Partly cloudy,36,44,12,S,46%,57%,0.0000,"1,010"
Panabo City,23/08/2017,18:00,Partly cloudy,33,38,8,SSW,47%,69%,0.0000,"1,010"
Panabo City,23/08/2017,21:00,Partly cloudy,32,33,4,WSW,44%,77%,0.0000,"1,012"
Panabo City,24/08/2017,0:00,Partly cloudy,30,30,4,SW,35%,79%,0.0000,"1,012"
Panabo City,24/08/2017,3:00,Patchy rain possible,31,26,5,ESE,31%,81%,0.0000,"1,011"
Panabo City,24/08/2017,6:00,Patchy rain possible,34,29,6,WSW,33%,76%,0.1000,"1,012"
Panabo City,24/08/2017,9:00,Partly cloudy,36,39,6,NNE,33%,60%,0.1000,"1,012"
Panabo City,24/08/2017,12:00,Patchy rain possible,38,47,5,ENE,39%,51%,0.1000,"1,010"
Panabo City,24/08/2017,15:00,Patchy rain possible,37,46,4,ESE,34%,52%,0.3000,"1,009"
Panabo City,24/08/2017,18:00,Patchy rain possible,35,41,5,S,29%,65%,0.3000,"1,009"
Panabo City,24/08/2017,21:00,Partly cloudy,33,34,5,SW,32%,77%,0.1000,"1,010"
Panabo City,25/08/2017,0:00,Partly cloudy,31,30,3,SSE,34%,80%,0.0000,"1,011"
Panabo City,25/08/2017,3:00,Clear,32,26,1,N,24%,83%,0.0000,"1,010"
Panabo City,25/08/2017,6:00,Sunny,34,29,2,NNE,0%,77%,0.0000,"1,010"
Panabo City,25/08/2017,9:00,Sunny,35,39,3,E,0%,58%,0.0000,"1,010"
Panabo City,25/08/2017,12:00,Sunny,36,44,8,SSE,0%,48%,0.0000,"1,009"
Panabo City,25/08/2017,15:00,Sunny,36,43,12,S,0%,53%,0.0000,"1,008"
Panabo City,25/08/2017,18:00,Clear,34,39,11,S,0%,67%,0.0000,"1,008"
Panabo City,25/08/2017,21:00,Clear,33,34,6,S,0%,79%,0.0000,"1,010"
Panabo City,26/08/2017,0:00,Clear,32,31,2,ESE,0%,84%,0.0000,"1,010"
Panabo City,26/08/2017,3:00,Clear,32,26,3,NNE,0%,86%,0.0000,"1,009"
Panabo City,26/08/2017,6:00,Sunny,34,30,3,ENE,0%,79%,0.0000,"1,009"
Panabo City,26/08/2017,9:00,Sunny,35,40,5,S,0%,59%,0.0000,"1,010"
Panabo City,26/08/2017,12:00,Sunny,36,45,12,S,0%,52%,0.0000,"1,008"
Panabo City,26/08/2017,15:00,Patchy rain possible,35,44,14,S,6%,57%,0.1000,"1,007"
Panabo City,26/08/2017,18:00,Clear,34,38,12,S,12%,71%,0.2000,"1,008"
Panabo City,26/08/2017,21:00,Clear,33,31,6,SSW,0%,81%,0.1000,"1,010"
Panabo City,27/08/2017,0:00,Clear,32,27,2,WSW,0%,83%,0.1000,"1,010"
Panabo City,27/08/2017,3:00,Clear,32,26,3,WSW,0%,84%,0.1000,"1,010"
Panabo City,27/08/2017,6:00,Sunny,34,29,2,NNE,0%,76%,0.0000,"1,010"
Panabo City,27/08/2017,9:00,Partly cloudy,36,39,3,E,9%,56%,0.0000,"1,011"
Panabo City,27/08/2017,12:00,Patchy rain possible,37,45,8,SSE,36%,48%,0.0000,"1,009"
Panabo City,27/08/2017,15:00,Partly cloudy,36,44,10,SSE,53%,55%,0.1000,"1,008"
Panabo City,27/08/2017,18:00,Clear,34,39,8,S,31%,66%,0.0000,"1,009"
Panabo City,27/08/2017,21:00,Partly cloudy,32,33,4,SE,9%,77%,0.0000,"1,010"
Panabo City,28/08/2017,0:00,Partly cloudy,31,30,3,N,34%,79%,0.0000,"1,010"
Panabo City,28/08/2017,3:00,Partly cloudy,31,27,4,ESE,46%,80%,0.0000,"1,010"
Panabo City,28/08/2017,6:00,Partly cloudy,35,29,5,WSW,46%,74%,0.0000,"1,010"
Panabo City,28/08/2017,9:00,Partly cloudy,37,38,6,NE,45%,58%,0.0000,"1,010"
Panabo City,28/08/2017,12:00,Partly cloudy,40,46,5,E,40%,48%,0.0000,"1,009"
Panabo City,28/08/2017,15:00,Partly cloudy,38,48,6,SE,30%,47%,0.0000,"1,007"
Panabo City,28/08/2017,18:00,Clear,35,41,9,S,18%,62%,0.0000,"1,007"
Panabo City,28/08/2017,21:00,Clear,33,34,7,S,0%,76%,0.0000,"1,008"
Panabo City,29/08/2017,0:00,Clear,31,31,3,SSE,0%,81%,0.0000,"1,008"
Panabo City,29/08/2017,3:00,Clear,32,28,1,SE,0%,83%,0.0000,"1,008"
Panabo City,29/08/2017,6:00,Sunny,34,31,3,SSE,0%,78%,0.0000,"1,009"
Panabo City,29/08/2017,9:00,Sunny,36,41,8,SSE,0%,60%,0.0000,"1,009"
Panabo City,29/08/2017,12:00,Sunny,38,48,13,S,0%,50%,0.0000,"1,007"
Panabo City,29/08/2017,15:00,Sunny,37,43,17,S,0%,55%,0.0000,"1,006"
Panabo City,29/08/2017,18:00,Clear,35,34,13,SSE,0%,70%,0.1000,"1,007"
Panabo City,29/08/2017,21:00,Clear,33,30,8,S,0%,78%,0.0000,"1,008"
Panabo City,30/08/2017,0:00,Clear,31,29,6,S,0%,80%,0.0000,"1,009"
Panabo City,30/08/2017,3:00,Clear,32,28,5,S,0%,81%,0.0000,"1,009"
Panabo City,30/08/2017,6:00,Sunny,33,31,6,S,0%,76%,0.0000,"1,009"
Panabo City,30/08/2017,9:00,Sunny,35,39,12,S,0%,61%,0.0000,"1,010"
Panabo City,30/08/2017,12:00,Sunny,36,44,15,S,0%,53%,0.0000,"1,009"
Panabo City,30/08/2017,15:00,Sunny,35,44,15,SSE,0%,57%,0.0000,"1,008"
Panabo City,30/08/2017,18:00,Clear,34,39,12,SSE,0%,68%,0.0000,"1,009"
Panabo City,30/08/2017,21:00,Clear,33,34,7,SSE,0%,78%,0.0000,"1,010"
Panabo City,31/08/2017,0:00,Clear,32,32,4,S,0%,80%,0.0000,"1,011"
Panabo City,31/08/2017,3:00,Clear,32,28,3,S,0%,82%,0.0000,"1,011"
Panabo City,31/08/2017,6:00,Sunny,34,31,4,S,0%,76%,0.0000,"1,011"
Panabo City,31/08/2017,9:00,Sunny,36,40,9,S,0%,60%,0.0000,"1,011"
Panabo City,31/08/2017,12:00,Sunny,37,45,13,S,0%,51%,0.0000,"1,010"
Panabo City,31/08/2017,15:00,Sunny,36,45,13,S,0%,52%,0.0000,"1,009"
Panabo City,31/08/2017,18:00,Clear,34,40,11,S,0%,67%,0.0000,"1,010"
Panabo City,31/08/2017,21:00,Clear,32,34,6,SSE,0%,81%,0.0000,"1,011"
Panabo City,01/09/2017,0:00,Clear,31,30,4,SSE,0%,84%,0.0000,"1,012"
Panabo City,01/09/2017,3:00,Clear,32,28,1,E,0%,85%,0.0000,"1,011"
Panabo City,01/09/2017,6:00,Sunny,33,31,2,ENE,0%,78%,0.0000,"1,012"
Panabo City,01/09/2017,9:00,Sunny,34,39,5,S,0%,59%,0.0000,"1,012"
Panabo City,01/09/2017,12:00,Sunny,35,39,10,S,0%,48%,0.0000,"1,010"
Panabo City,01/09/2017,15:00,Sunny,34,38,14,S,0%,50%,0.0000,"1,009"
Panabo City,01/09/2017,18:00,Clear,33,34,13,S,0%,65%,0.0000,"1,009"
Panabo City,01/09/2017,21:00,Clear,31,30,10,S,0%,79%,0.0000,"1,011"
Panabo City,02/09/2017,0:00,Clear,30,30,5,S,0%,82%,0.0000,"1,012"
Panabo City,02/09/2017,3:00,Clear,31,29,1,SSE,0%,85%,0.0000,"1,011"
Panabo City,02/09/2017,6:00,Sunny,32,31,3,SE,0%,79%,0.0000,"1,011"
Panabo City,02/09/2017,9:00,Sunny,33,36,7,S,0%,59%,0.0000,"1,012"
Panabo City,02/09/2017,12:00,Sunny,34,39,11,S,0%,48%,0.0000,"1,010"
Panabo City,02/09/2017,15:00,Sunny,33,37,14,S,0%,52%,0.0000,"1,009"
Panabo City,02/09/2017,18:00,Clear,32,33,13,S,0%,67%,0.0000,"1,010"
Panabo City,02/09/2017,21:00,Clear,30,30,11,S,0%,80%,0.1000,"1,012"
Panabo City,03/09/2017,0:00,Clear,29,29,6,SSW,0%,82%,0.3000,"1,012"
Panabo City,03/09/2017,3:00,Partly cloudy,29,29,3,SSW,9%,83%,0.3000,"1,012"
Panabo City,03/09/2017,6:00,Partly cloudy,30,30,4,S,30%,78%,0.0000,"1,012"
Panabo City,03/09/2017,9:00,Sunny,31,33,8,S,24%,64%,0.0000,"1,012"
Panabo City,03/09/2017,12:00,Sunny,32,36,12,S,0%,55%,0.0000,"1,011"
Panabo City,03/09/2017,15:00,Sunny,31,35,14,S,0%,57%,0.0000,"1,010"
Panabo City,03/09/2017,18:00,Partly cloudy,29,31,13,S,9%,69%,0.0000,"1,011"
Panabo City,03/09/2017,21:00,Partly cloudy,27,29,10,SSW,35%,76%,0.0000,"1,012"
Panabo City,04/09/2017,0:00,Partly cloudy,26,29,8,S,50%,80%,0.1000,"1,012"
Panabo City,04/09/2017,3:00,Partly cloudy,27,28,4,SW,50%,83%,0.0000,"1,011"
Panabo City,04/09/2017,6:00,Patchy light drizzle,29,28,1,NW,54%,84%,0.1000,"1,012"
Panabo City,04/09/2017,9:00,Sunny,31,32,5,W,44%,71%,0.2000,"1,012"
Panabo City,04/09/2017,12:00,Sunny,33,37,12,SSE,0%,50%,0.0000,"1,010"
Panabo City,04/09/2017,15:00,Partly cloudy,33,36,12,SSE,12%,55%,0.0000,"1,009"
Panabo City,04/09/2017,18:00,Partly cloudy,31,32,10,S,34%,68%,0.0000,"1,010"
Panabo City,04/09/2017,21:00,Clear,30,29,4,SSW,21%,78%,0.0000,"1,011"
Panabo City,05/09/2017,0:00,Clear,30,28,1,SSE,0%,82%,0.0000,"1,012"
Panabo City,05/09/2017,3:00,Clear,30,27,1,ESE,0%,83%,0.0000,"1,011"
Panabo City,05/09/2017,6:00,Sunny,32,29,1,WNW,0%,76%,0.0000,"1,011"
Panabo City,05/09/2017,9:00,Sunny,33,34,6,S,0%,58%,0.0000,"1,012"
Panabo City,05/09/2017,12:00,Sunny,34,37,12,S,0%,50%,0.0000,"1,010"
